순번	영상ID	제목	길이	상태
168	Vm6PqDfXz14	[몰아보기] 위기의 태영건설, 지난 한 달 중간 정리 (언더스탠딩 김상훈 기자)	74분	
169	XD94oNE0Yos	임대차보호법 대법원 판결 후폭풍 일파만파 (언더스탠딩 장순원 기자)	33분	
170	zYpNB-qxrdE	태영건설 또 3조원 빚폭탄 나왔다 (언더스탠딩 김상훈 기자)	15분	
171	IjWQEZjNgso	태영건설이 안 갚은 451억 원의 진실 (언더스탠딩 김상훈 기자)	36분	
172	832FHba6cA0	단군이래 최대의 골칫거리, 1기 신도시 재건축 (이프로)	20분	
173	FDLfOosEqRY	저출산이 불러올 부동산 붕괴 시나리오 (유튜브 채부심 채상욱 대표)	56분	
174	k1Q_pRGGTxc	살얼음판 부동산 시장, 약한 자부터 쓰러집니다 (라이프자산운용 배문성 팀장)	70분	
175	e_2QPnevN4k	새 아파트 지으려다 이것 때문에 멘붕 옵니다 (언더스탠딩 장순원 기자)	40분	
176	zqnZBN3Rb-U	설마 태영건설까지? 위기의 부동산 PF (언더스탠딩 김상훈 기자)	16분	
177	XjrPIk4WLi0	2024 부동산 전망, 집값 다시 오릅니다 (분전아카데미 김건우 대표)	70분	
178	o62XskPJ_D8	아파트 리모델링, 빨간불 켜졌습니다 (언더스탠딩 장순원 기자)	17분	
179	DmQSDd7ue0E	집값은 내년에도 별로입니다. 그런데 다음해는? (아기곰 [재테크 불변의 법칙] 저자)	55분	
180	IMa-aGYopNc	여의도 재건축에 빨간불이 켜졌습니다 (언더스탠딩 장순원 기자)	22분	
181	ZTcuQS0WLag	재건축초과이익환수제 이게 진짜 문제입니다 (김제경 투미부동산 소장)	59분	
182	PClFow_Gtqs	GTX 역세권이 중요한 진짜 이유 (언더스탠딩 장순원 기자)	28분	
183	QSCKTatqiD4	3천억 원 받아가고 15년 째 이자 한푼 안 주는 이유 (언더스탠딩 장순원 기자)	20분	
184	5v5hWjydguc	갑자기 변심한 국토부, 재건축 상가 큰일났습니다 (분전리서치 김건우 대표)	55분	
185	o8SsX-JNTw4	무주택자의 지옥이 된 미국 부동산 (언더스탠딩 장순원 기자)	23분	
186	lqJ_J6BtmiI	이게 말이 됩니까? 1기 신도시 특별법에 빡친 이유 (유튜브 채부심 채상욱 대표)	38분	
187	R-0CRbA2a_E	폐가처럼 텅 비었다, 지식산업센터에 무슨 일이 (언더스탠딩 장순원 기자)	24분	
188	SjX1c1Xy4QI	이것 모르면 재개발 입주권 날리고 현금청산됩니다 (김제경 투미부동산컨설팅 소장)	55분	
189	VXGbrLraAU8	분당·일산 재건축 특별법, 특혜인가 희망고문인가 (언더스탠딩 장순원 기자)	28분	
190	J228zx9R3mE	독일 집값의 추락, 한국도 따라가나 (언더스탠딩 장순원 기자)	21분	
191	pNvBDiQtz7M	강남 노른자도 흔들린다.. 살얼음판 부동산PF 대출(언더스탠딩 장순원 기자)	27분	
192	T1DgouOSTWw	미국 부동산 경매에 주택이 헐값에 나오는 이유 (네오집스 어태수 대표)	72분	
193	uk0_LTfUS2k	DSR에 막힌 집값, 대세 상승은 없다 (채부심 채상욱 대표)	51분	
194	3fBcMJCZTIk	한번쯤은 해야 할 이야기. 文정부 부동산 정책 설계자의 자기고백 (세종대 김수현 교수/전 청와대 정책실장)	77분	
195	-2n2SqhwIb4	집값 상승 부추기는 복병, 아파트 공사비 (언더스탠딩 장순원 기자)	23분	
196	yKJrs6_PTn8	금리 고공행진에도 대출 더 늘어난 이유 (김상훈 기자)	31분	
197	ArLXWk_gvV8	[하이라이트] 중도금 먼저 보내면 이런 일이 벌어집니다 (김예림 대표 변호사/법무법인 심목)	4분	
198	my5khqgNsU4	미국 부동산은 왜 허위매물이 없을까 (네오집스 어태수 대표)	56분	
199	ToRTNSbYzG8	해외 부동산 투자할 때 외환거래, 세금 꿀팁 다 정리해드립니다 (하나은행 김상미 팀장, 김태희 세무사)	58분	
200	b5nY3Tf5tt0	부동산 대출 살리는 데 21조 긴급 투입  (언더스탠딩 김상훈 기자)	19분	
201	R1OSjEbDR_o	호텔로 지어진 생활형숙박시설(레지던스)가 투기판이 된 이유 (언더스탠딩 장순원 기자)	18분	
202	XayOpWHiwWQ	덮어뒀던 부동산 대출, 터지기 시작했다 (언더스탠딩 김상훈 기자)	29분	
203	L-eWvtE-97Y	못쓰는 용적률과 새 아파트를 바꾸는 방법 (장순원 기자)	25분	
204	hIqIygXp-Pc	탐욕의 대가인가 억울한 피해자인가. 생활형숙박시설(레지던스) 대란 (언더스탠딩 장순원 기자)	31분	
205	WZMQ8y0JIbE	재개발 노린 건설사의 황당한 지분 쪼개기 (언더스탠딩 장순원 기자)	24분	
206	LvDLCF1Eu1w	지금 집 사는 걸 고민해야 하는 이유 (분전아카데미 김건우 대표)	60분	
207	GMHs8whCtAk	부동산 소액투자 이러다 지뢰밟습니다 (법무법인 심목 김예림 대표변호사)	54분	
208	1s-Hub7wddI	빚 내서 집 사라는 정부의 신호가 진짜 위험한 이유 (이화여대 경제학과 석병훈 교수)	74분	
209	QGtOubrMSes	적금 넣듯이 지분 모으는 아파트 나온다 (언더스탠딩 장순원 기자)	21분	
210	JgGb2-OsXAY	정부가 부동산 대출 다시 압박하는 이유 (언더스탠딩 김상훈 기자)	22분	
211	28SQZrm2wWU	처음 겪는 상황 온다. 함부로 집 사지 마라 (라이프자산운용 배문성 팀장)	72분	
212	Tuu8T09XTW8	중국 부동산, 알고 보니 폰지였다? (언더스탠딩 김상훈 기자)	28분	
213	AX0RhClRUFk	아파트 더 높~게 지어줄게. 대우건설은 뭘 믿고 약속했나 f.한남2구역 재개발 (언더스탠딩 장순원 기자)	28분	
214	uQtJRMvbVik	논란의 무량판 아파트 진짜 문제는 이겁니다 (언더스탠딩 장순원 기자)	35분	
215	5q5aNSxp9YA	끝나지 않은 둔촌주공, 이번엔 구청과 소송전 (언더스탠딩 장순원 기자)	32분	
216	RCYCt2NMRoE	"위험은 네가, 수익은 내가" 부동산 PF의 진실 (언더스탠딩 김상훈 기자)	30분	
217	JEjxZvzMJDE	순살 아파트, 진짜 범인은 누구인가 (채상욱 대표/유튜브 채부심)	71분	
218	7ra7jpNTvII	압구정 재건축 아파트에 고발장까지 등장한 사연 (장순원 기자)	35분	
219	A7EgxOeQk3c	[하이라이트] 이런 표 보신 적 있으시죠? 재개발·재건축 투자 수익 계산법 10분 안에 정리해 드립니다 (법무법인 심목 김예림 대표 변호사)	10분	
220	Kt1kVHeKE7g	전세대출을 막으라는 말이 나오는 이유 (김상훈 기자)	28분	
221	aiFuOeF3YbM	(2부) 일본 부동산 투자, 이런 건 피해라 (글로벌PMC 김용남 대표)	24분	
